Attained_Age,Policies_Exposed,Amount_Exposed,Death_Count,Death_Claim_Amount,Exp_Count,Exp_Amount,qx_Crude_Count,qx_Crude_Amount,AE_Count,AE_Amount,AE_Count_CI_Lo,AE_Count_CI_Hi,Credibility_Count,AE_Amount_CI_Lo,AE_Amount_CI_Hi,Credibility_Amount
1,171625.39428453753,17367975275.9157,26,3601474,22.772794321133343,2371406.0613854923,0.00015149273281140805,0.00020736291610192414,1.1417132053869992,1.518708271284354,0.7028608422479536,1.5805655685260447,0.1550147569148429,1.5171397792865562,1.5202767632821519,1.0
2,278713.51720856363,27678812942.40487,27,1212269,27.92594958701617,2833643.0864365837,9.687366536943264e-05,4.379772364235907e-05,0.9668426821393863,0.42781287657665995,0.6021542200710956,1.331531144207677,0.1579676842873654,0.42705131952590053,0.42857443362741937,1.0
3,361883.0452235511,35230132520.30408,36,2181979,30.798916512651996,2988323.692701578,9.947965364821448e-05,6.193502107159167e-05,1.168872287608281,0.7301682228498458,0.787047689901752,1.5506968853148102,0.18240537009314448,0.7291993969594132,0.7311370487402785,1.0
4,430202.20828448795,41116581185.11184,31,2086410,33.39186829550133,3130186.1220461144,7.205913731502755e-05,5.074376175895386e-05,0.9283697373763428,0.6665450291614521,0.6015650935336792,1.2551743812190064,0.1692650198655718,0.6656405933351411,0.667449464987763,1.0
5,488808.9728897095,45893050637.50316,36,2506529,39.15625477070696,3669017.719484501,7.364840253888448e-05,5.4616744042543546e-05,0.9193933436895458,0.6831607780711859,0.6190637034799849,1.2197229838991068,0.18240537009314448,0.6823150423997003,0.6840065137426715,1.0
6,540937.6050315334,49793578800.93109,38,3218788,41.92085785399609,3916883.6852761987,7.024839768310216e-05,6.464263219296484e-05,0.9064699995488681,0.8217726791580812,0.6182595465640215,1.1946804525337147,0.1874037029364864,0.8208749329017682,0.8226704254143942,1.0
7,586810.5247019127,53175034582.54673,30,1863740,44.049035573164254,3987504.226439382,5.112382743175809e-05,3.504915445060608e-05,0.68105917892733,0.46739511588285276,0.43734976003501114,0.9247685978196489,0.16651255968348905,0.46672408949687283,0.4680661422688327,1.0
8,627811.3805531559,55855629729.71286,37,2099268,47.125623916908786,4189007.943190485,5.893489851585649e-05,3.7583821186126154e-05,0.7851354937016402,0.5011372688878525,0.5321522014928213,1.038118785910459,0.18492142508795978,0.5004593607458946,0.5018151770298104,1.0
9,666083.8493800545,58406920393.04055,46,3469463,50.00026568319702,4381085.846741278,6.906037437000412e-05,5.9401573934266224e-05,0.9199951114551509,0.7919185154932863,0.6541340741875242,1.1858561487227774,0.20618890177763247,0.7910852230220976,0.792751807964475,1.0
10,699203.3820979898,60129920564.75271,58,2780196,54.269609822637655,4601771.3007418625,8.295154383545529e-05,4.623648216874098e-05,1.068738105719829,0.6041577945326831,0.7936920707344143,1.3437841407052438,0.2315263186534204,0.6034476270761677,0.6048679619891986,1.0
11,727428.6913187185,61338014989.586655,53,2896522,60.09184703098525,5005932.647742139,7.285937526593706e-05,4.72222976320923e-05,0.8819832076832574,0.5786178528203807,0.6445341377765481,1.1194322775899668,0.22132185644549568,0.5779515041973033,0.579284201443458,1.0
12,752214.7022676552,62132188594.30475,82,4242127,68.05072252125092,5499500.449277688,0.00010901142951978959,6.82758340881758e-05,1.204983532311402,0.7713658793422168,0.9441747109010756,1.4657923537217283,0.2752918129096526,0.7706318444876206,0.772099914196813,1.0
13,778276.0391882381,63011688917.564415,95,4722495,84.65299547550634,6557740.941163584,0.00012206465985910017,7.494633267453352e-05,1.1222284511773417,0.720140524362046,0.8965617069205287,1.3478951954341547,0.2963112716144411,0.7194910237147515,0.7207900250093405,1.0
14,806360.0767099918,63904954775.79891,130,8201838,130.81730549661086,9906837.272488266,0.00016121829906362619,0.00012834432054251404,0.993752313629239,0.8278967115748307,0.8229260792278699,1.1645785480306081,0.3466235339771943,0.8273301219011211,0.8284633012485403,1.0
15,834919.3926690652,64673126325.86229,188,11082516,207.23800662968176,15459969.900588464,0.00022517143768693975,0.0001713619957717768,0.9071695055238657,0.7168523659013177,0.7774941016174484,1.036844909430283,0.4168360715389737,0.7164303210267324,0.717274410775903,1.0
16,873291.8423257978,66075156071.42861,261,13600543,302.5603746674523,22365143.682237953,0.00029886916074343576,0.00020583444381572905,0.8626377472161323,0.6081133746885489,0.7579836356088502,0.9672918588234144,0.4911414898289731,0.6077901872129222,0.6084365621641755,1.0
17,910102.1998720774,67042976960.00331,380,18620557,403.1150959702901,29229903.535546232,0.0004175355251898218,0.00027774060527038807,0.9426588182845087,0.6370379217076684,0.8478801008834012,1.0374375356856163,0.5926225432288822,0.6367485760008363,0.6373272674145004,1.0
18,864370.1181265537,60672098171.13261,474,24211233,443.2361803264402,30968204.775648803,0.0005483761991071063,0.00039905053113062686,1.0694072845111662,0.781809380795557,0.9731348269505508,1.1656797420717815,0.6618743340023774,0.7814979650877754,0.7821207965033385,1.0
19,827969.2757307868,55764520658.36528,516,25331987,459.42806504204634,30988103.43203869,0.0006232115310614215,0.0004542670985229733,1.1231355662888731,0.8174745852245086,1.0262285057395457,1.2200426268382005,0.6905755856938305,0.8171562477823664,0.8177929226666507,1.0
20,805159.830348538,52691279690.2662,495,30149557,460.67355757917767,30258466.397843767,0.0006147847686163432,0.0005721925369288309,1.074513593967074,0.9964006967037983,0.9798555761727078,1.1691716117614404,0.6763772148614513,0.9960450312809378,0.9967563621266587,1.0
21,790958.0160674558,50457287549.39784,602,60082047,464.4399393401549,29722294.269002367,0.0007611023439563438,0.0011907506312379453,1.2961848217775611,2.0214471486025247,1.192642767538959,1.3997268760161632,0.7459068839221421,2.020936010658533,2.0219582865465164,1.0
22,780929.3808963848,48604806818.56924,606,44863394,469.27067748610006,29256647.13674537,0.0007759984639128403,0.0009230238105351373,1.2913655787026026,1.5334427691016268,1.1885495121334593,1.394181645271746,0.7483808770628894,1.5329940551220005,1.5338914830812531,1.0
23,774225.4360691207,47044273897.928406,672,33737353,478.6790073492225,29159352.570364174,0.000867964250066315,0.0007171404765051677,1.4038635279230853,1.156999385311752,1.297721264176344,1.5100057916698266,0.7880812703805262,1.1566089710116716,1.1573897996118323,1.0
24,765706.661339693,45500876707.612526,669,34465289,478.8655980295073,28556058.773362547,0.0008737027294884787,0.0007574642840724382,1.3970517045970314,1.206934376817772,1.2911878966298342,1.5029155125642286,0.7863201927149966,1.206531436442906,1.207337317192638,1.0
25,756553.1533374584,44162104343.02113,669,31794518,472.9681855387736,27684555.907078683,0.0008842736257839565,0.0007199502485896471,1.4144714601425468,1.1484568546707459,1.3072876425795432,1.5216552777055503,0.7863201927149966,1.1480576582373212,1.1488560511041706,1.0
26,755819.5757016225,43067540731.437614,676,34053006,466.7511650895032,26677117.806977525,0.0008943933469472175,0.0007906884261710965,1.4483091860528547,1.2764874468970286,1.3391309613166196,1.55748741078909,0.790423270403626,1.276058713898056,1.2769161798960014,1.0
27,757656.6193752214,42229962558.921295,762,36168457,463.1867131074312,25867266.66353931,0.0010057326505354895,0.0008564643397335721,1.6451249106173351,1.3982326571434982,1.528317745485632,1.7619320757490382,0.8391968698235395,1.3977769744428,1.3986883398441965,1.0
28,756613.9122931934,41119425719.38779,740,36851625,459.0171926865621,24979253.264327258,0.0009780417568019085,0.0008962096224662126,1.612140050068464,1.475289297483829,1.4959858285767704,1.7282942715601575,0.8269937539856262,1.4748129795194627,1.4757656154481953,1.0
29,753949.4832310134,39738622716.63158,779,31635429,463.3777630907648,24459698.270482402,0.0010332257231102989,0.0007960877060482472,1.681133757485493,1.29336955223921,1.5630795062156255,1.7991880087553604,0.8485063532014891,1.292918856077224,1.2938202484011958,1.0
30,747031.623998767,38257428180.41575,844,41936895,475.0692314188892,24344029.208678775,0.0011298049143919416,0.0010961765334102566,1.7765831676347998,1.722676827262813,1.656726441527708,1.8964398937418916,0.8831970157199976,1.7221554479843513,1.7231982065412748,1.0
31,739875.9427673393,36458491855.17749,814,34800856,496.8670377685528,24500003.540287185,0.0011001844403203819,0.0009545336142328091,1.6382652462833969,1.4204428967846618,1.5257218266862411,1.7508086658805526,0.8673583665615743,1.41997096752212,1.4209148260472038,1.0
32,736716.4969647059,34806934559.27863,857,35461721,531.2077430395458,25067414.782402743,0.0011632697293068172,0.00101881195368142,1.6133047969073007,1.4146540960775114,1.5052922752625348,1.7213173185520665,0.8899728962206623,1.4141884902062432,1.4151197019487796,1.0
33,729750.4313707417,33051036668.042976,907,36212645,569.6562705267039,25754900.434439145,0.0012428906664656819,0.0010956583711340582,1.5921882140635233,1.4060487281704606,1.4885693439583063,1.6958070841687403,0.9155667517415863,1.405590777879456,1.406506678461465,1.0
34,719499.2498696081,31060862741.239082,955,32658289,609.3221534938186,26275087.817218784,0.001327312016201644,0.0010514289082073705,1.5673154086456307,1.242937387200591,1.4679116494773679,1.6667191678138935,0.9394811168652596,1.2425111016335768,1.2433636727676054,1.0
35,710819.7982503213,29201231100.98814,993,33986191,659.979804676919,27090009.699275963,0.0013969785344249887,0.001163861581125254,1.5045914935019942,1.2545654792035144,1.411009548156864,1.5981734388471243,0.9579900400425374,1.2541436951294667,1.254987263277562,1.0
36,701746.7477478166,27420529670.93054,1051,37690466,716.2057744289002,27985736.276094195,0.0014976913015601076,0.0013745345714440001,1.467455356441469,1.346774143376593,1.3787373793148858,1.556173333568052,0.9855705723335633,1.34634418431405,1.347204102439136,1.0
37,688582.7378336443,25545995678.667377,1125,34480699,768.8181303540467,28557567.159016203,0.0016337905936175102,0.0013497496607185954,1.4632849507359156,1.2074102393947708,1.3777781345621474,1.5487917669096838,1.0,1.2070072302370378,1.2078132485525037,1.0
38,673676.0627603901,23724595081.093056,1059,37201272,814.0161388172877,28724517.23350024,0.0015719721369655672,0.0015680466567645223,1.3009570074847139,1.2951052126513607,1.2226026676789308,1.379311347290497,0.9893144436385567,1.2946890393194028,1.2955213859833186,1.0
39,657842.4587865584,21918152193.577843,1124,30033272,857.4123123812088,28643464.535195027,0.0017086157711274908,0.0013702465305811655,1.3109212263099217,1.0485209274561489,1.2342836906917456,1.3875587619280978,1.0,1.048145933844388,1.0488959210679099,1.0
40,646168.9071580875,20210140868.42556,1171,31782701,904.8500707045708,28377935.367675707,0.0018122196642827797,0.0015726115521368942,1.2941370486805497,1.1199793285949387,1.2200145734050052,1.3682595239560942,1.0,1.1195899584068925,1.1203686987829848,1.0
41,640085.1397351266,18691347962.838356,1247,29646886,952.6953365013193,27945323.23846774,0.0019481783322075257,0.0015861288366651328,1.3089179218400353,1.060888999100572,1.2362693169988501,1.3815665266812205,1.0,1.0605071177099912,1.061270880491153,1.0
42,632101.1778239522,17189458173.490448,1327,32038155,988.0126404559034,27063157.72806404,0.0020993474566338897,0.001863825763246522,1.3431002253044821,1.1838291496478612,1.2708363826599007,1.4153640679490636,1.0,1.1834192256237626,1.18423907367196,1.0
43,622404.3639889555,15654815122.802755,1303,28616153,1004.555086805511,25485997.280573037,0.0020934943187884227,0.0018279457646432247,1.2970916350078372,1.122818647627062,1.226663442651623,1.3675198273640514,1.0,1.1224072591877268,1.1232300360663974,1.0
44,611460.283534863,14179506730.944893,1413,29237478,1020.1612173930831,23880668.31205197,0.0023108614542083116,0.002061953109849236,1.3850751978307663,1.2243157359731254,1.3128563820660164,1.4572940135955161,1.0,1.2238719520465386,1.224759519899712,1.0
45,600704.0774660998,12775178400.43684,1542,28997492,1040.7922851558003,22331037.85353469,0.0025669877362985297,0.0022698306897231623,1.4815636337746028,1.2985286304286168,1.4076156710710623,1.5555115964781432,1.0,1.2980560024777303,1.2990012583795032,1.0
46,592633.9808278556,11465400367.067343,1598,28281440,1074.1215387918912,20955058.099285036,0.002696436673725222,0.0024666770539678866,1.4877273588586042,1.3496235546569508,1.414784454233197,1.5606702634840113,1.0,1.3491261498465426,1.350120959467359,1.0
47,586433.2112855609,10256832320.275625,1707,25704139,1106.386252407256,19524584.933394913,0.002910817407932895,0.002506050425450386,1.5428608194343874,1.3165011746823647,1.4696697520346613,1.6160518868341134,1.0,1.3159922332456846,1.3170101161190448,1.0
48,577485.9262971261,9142761612.816633,1771,23327673,1139.4833933322377,18216177.822825335,0.003066741403302686,0.002551490893878112,1.554213084949832,1.280601958703424,1.481827952834686,1.6265982170649778,1.0,1.2800822900230797,1.2811216273837684,1.0
49,565609.0233698604,8092213291.66683,1995,25492166,1172.4884634330144,16921235.199485004,0.0035271714516043693,0.0031502093532620092,1.7015092789558834,1.5065192167990107,1.6268453288137146,1.7761732290980523,1.0,1.5059344005944593,1.507104033003562,1.0
50,559534.5421232623,7285669179.100982,2126,24660159,1231.9086401090428,16178431.552129969,0.0037995866920610133,0.0033847486612126067,1.7257773269711107,1.5242614168462685,1.6524186956552545,1.799135958286967,1.0,1.5236598143752507,1.5248630193172863,1.0
51,559572.6117466742,6707105038.961367,2218,22876666,1318.424262399603,15936635.218239177,0.003963739385093632,0.003410810754731013,1.6823112735828456,1.4354765411093862,1.612299081543206,1.7523234656224853,1.0,1.434888310222413,1.4360647719963593,1.0
52,563599.2417098184,6280934566.932919,2397,23887351,1425.785993924949,16022097.821754407,0.004253022045821255,0.0038031523406976964,1.6811779679511805,1.4909003343848237,1.6138759999316297,1.7484799359707313,1.0,1.4903024561995948,1.4914982125700527,1.0
53,568890.9837863464,5961031105.753019,2681,23343636,1551.261607154454,16387370.430075308,0.004712677958360614,0.003916039957830609,1.7282707105204995,1.4244894322494865,1.6628505728187466,1.7936908482222524,1.0,1.4239115716664332,1.4250672928325399,1.0
54,575224.2966596661,5732263059.7937355,2885,27515196,1698.5612521008857,17058191.57221816,0.005015434877756776,0.004800058146841237,1.6984962988126884,1.6130195210618135,1.6365179806472447,1.760474616978132,1.0,1.612416820759983,1.613622221363644,1.0
55,577279.0069392943,5493411931.345454,3058,26828924,1854.8421390048888,17789262.735130884,0.005297265210133606,0.004883836190567457,1.6486578214362748,1.5081526648666144,1.5902245935368504,1.7070910493356992,1.0,1.5075819860273485,1.5087233437058802,1.0
56,580085.7494555528,5288109926.405506,3226,26166111,2032.934841083108,18684675.715956245,0.005561246769167844,0.004948102699102915,1.5868683711875635,1.4004048771183542,1.5321092066407191,1.641627535734408,1.0,1.3998683000406278,1.4009414541960805,1.0
57,582839.113299279,5098594166.617053,3340,25418267,2237.3854319492057,19738089.393354,0.005730569420938915,0.004985348150756068,1.4928138676089433,1.287777479037995,1.4421870628390718,1.5434406723788148,1.0,1.2872768501017418,1.2882781079742482,1.0
58,583402.3164315887,4906983490.964338,3527,29950192,2462.150382006108,20898478.072201747,0.006045570784794073,0.006103585238293532,1.4324876440432022,1.4331279003440185,1.3852121315189918,1.4797631565674125,1.0,1.4326146452875945,1.4336411554004425,1.0
59,583537.5522886373,4723964785.282273,3726,30450942,2719.011603343769,22237654.371133916,0.00638519318146126,0.006446056095691334,1.3703509008265589,1.3693414553437582,1.3263503153429967,1.414351486310121,1.0,1.368855093516833,1.3698278171706832,1.0
60,580426.0579639096,4535003260.2703905,4020,29866561,2992.6628812855924,23651132.577697143,0.006925946802081653,0.006585786004091928,1.3432852811918068,1.2627962277021763,1.3017608855281029,1.3848096768555107,1.0,1.2623433418460102,1.2632491135583424,1.0
61,575071.8059313712,4362515968.107948,3995,28690378,3290.6594677497887,25282017.395997997,0.006946958551601748,0.006576566873276846,1.214042364198764,1.1348136325759164,1.1763959565196676,1.2516887718778607,1.0,1.1343983874912884,1.1352288776605444,1.0
62,565540.8307590745,4180221196.2984414,4362,31966822,3601.371415383226,26996078.09341162,0.0077129709523276685,0.007647160401058779,1.2112052595763256,1.1841283718838214,1.1752615407358518,1.2471489784167995,1.0,1.1837178870209377,1.184538856746705,1.0
63,555232.5132528432,4006111397.4532623,4580,31840083,3935.989052598343,28833133.19754378,0.008248796478376164,0.007947877590283975,1.163621122618853,1.1042880002618782,1.1299213517376128,1.1973208935000934,1.0,1.103904431396057,1.1046715691276994,1.0
64,542424.6599898238,3822176893.197637,4698,33535996,4272.879476978756,30585065.2380563,0.008661110650994622,0.008774056496360573,1.0994927484642827,1.0964827355761833,1.068052645896193,1.1309328510323724,1.0,1.0961116327306644,1.0968538384217021,1.0
65,506814.49057165324,3537720407.7426243,4678,34430029,4421.987295306035,31344110.49253751,0.00923020175434117,0.009732264009514923,1.0578953958021824,1.0984528978162322,1.0275801768506587,1.088210614753706,1.0,1.098085986728741,1.0988198089037235,1.0
66,480733.3456348744,3308040205.5479207,4796,33001857,4631.716684146391,32366103.999701295,0.009976424651105122,0.009976256317759537,1.0354692065721385,1.0196425556905018,1.0061639389432342,1.0647744742010428,1.0,1.0192946777784448,1.0199904336025587,1.0
67,453340.82782903756,3080685821.6009283,4711,32402900,4808.668866441134,33169202.53118749,0.01039173996871201,0.010518080023869916,0.9796890014359799,0.9768971674713322,0.9517133781427544,1.0076646247292054,1.0,0.9765608069622379,0.9772335279804264,1.0
68,429474.4345592668,2868513090.8781595,4809,32169094,5016.284741323496,33998795.23524672,0.011197406907200586,0.011214553666252167,0.9586776365352805,0.9461833508338596,0.9315823780171654,0.9857728950533956,1.0,0.9458563837921055,0.9465103178756138,1.0
69,410299.9371608773,2682521796.741541,5132,34355280,5284.09408115423,35047894.37221882,0.012507922949029747,0.012807083260882113,0.9712166212754094,0.9802380603849392,0.9446448274868736,0.9977884150639452,1.0,0.9799102800414895,0.9805658407283889,1.0
70,387317.99794842815,2462721666.193765,5087,32381063,5518.6275676365985,35604221.33293298,0.013133910706306347,0.013148486670053229,0.9217871540801499,0.9094725790295085,0.8964564142835858,0.947117893876714,1.0,0.9091593282577355,0.9097858298012815,1.0
71,359794.76476287213,2236918158.0304627,5250,31907138,5691.833576214023,35930085.941404104,0.014591652003219355,0.01426388260359657,0.922374122451431,0.888034001700835,0.8974238352297298,0.9473244096731323,1.0,0.8877258718594608,0.8883421315422092,1.0
72,327897.7586201667,2006396725.4282062,5196,31753047,5780.94085616048,35962952.9701796,0.01584640292103671,0.0158259065106993,0.8988156304112443,0.8829377005367038,0.8743765907594644,0.9232546700630243,1.0,0.8826305965537232,0.8832448045196845,1.0
73,298063.5501544187,1797415839.3048675,5342,30071060,5869.634769432287,36047596.34215668,0.017922352455482914,0.01673016301649466,0.910107734099558,0.8342043035150368,0.8857021641558919,0.9345133040432242,1.0,0.833906145733476,0.8345024612965977,1.0
74,278148.32719947887,1652358310.4993556,5381,32137530,6120.469681185368,37071365.287431136,0.01934579313914379,0.019449492156630232,0.8791808930189565,0.8669098035862216,0.8556902537289296,0.9026715323089834,1.0,0.8666100835628737,0.8672095236095695,1.0
75,260589.56394737447,1508122275.406197,5741,31874294,6401.216841027279,37812569.18965722,0.022030813180068037,0.02113508600714421,0.8968607286046373,0.8429549930904588,0.8736611911953341,0.9200602660139404,1.0,0.8426623540989862,0.8432476320819315,1.0
76,241358.6493759635,1370304464.770997,5823,31771314,6599.7585702090655,38247766.46065282,0.024125922211843065,0.023185587449216675,0.8823050022291256,0.8306710937666011,0.8596432525814929,0.9049667518767582,1.0,0.8303822522607426,0.8309599352724596,1.0
77,219584.44252906973,1223253760.8103886,5783,32204711,6673.894510932398,37944260.30745297,0.026336109850926333,0.026327089302112448,0.8665105495040357,0.8487373515533886,0.8441776377761826,0.8888434612318888,1.0,0.8484442205847573,0.8490304825220198,1.0
78,201470.90004964173,1098288085.4130673,5970,32217863,6798.165994213043,37802087.17038061,0.029632070927012352,0.02933461942080782,0.8781780269975724,0.8522773585169641,0.8559017047454229,0.9004543492497219,1.0,0.8519830650122477,0.8525716520216804,1.0
79,188045.4564783445,994794717.3414669,6378,33707895,7055.163014020545,38040953.788983166,0.03391733105093393,0.03388427221455544,0.9040187997534803,0.8860948962263391,0.8818325807521553,0.9262050187548053,1.0,0.8857957644775927,0.8863940279750855,1.0
80,177893.26399294846,911640956.5081793,6784,34861196,7437.170890370908,38815634.1175303,0.038135226976716285,0.03824005026444555,0.9121748175483524,0.8981225424385284,0.8904686450567606,0.9338809900399442,1.0,0.8978244077246772,0.8984206771523796,1.0
81,170095.62531710276,839822408.2930743,7285,35635354,7961.9259831335075,39996530.59926801,0.042828849868530444,0.042432011396824114,0.9149796186792614,0.8909611275297006,0.8939687149351103,0.9359905224234124,1.0,0.8906686002930865,0.8912536547663147,1.0
82,163175.8246621061,770970937.7728244,7756,38198368,8549.215692315804,41044016.97842105,0.047531550804542404,0.04954579495609417,0.9072177237230357,0.9306683607523808,0.8870275192609534,0.927407928185118,1.0,0.9303732258059562,0.9309634956988054,1.0
83,156553.4615738648,708439751.1883988,8546,39874769,9244.241821730524,42469660.173836716,0.054588380953606956,0.056285335391062646,0.924467378158676,0.938900119209447,0.90486728039802,0.9440674759193319,1.0,0.9386086998527582,0.9391915385661359,1.0
84,149213.28681376996,642897983.2401644,9219,41695544,9948.34498036855,43475318.93277816,0.06178404213765524,0.06485561486731868,0.9266868024975214,0.9590624065224213,0.9077703731987141,0.9456032317963288,1.0,0.958771301206263,0.9593535118385795,1.0
85,134009.56233982812,563401462.0683143,9377,39810752,10129.12172519644,43106977.761407316,0.06997261864210359,0.0706614282715028,0.9257466001888871,0.9235338236966742,0.9070092463221996,0.9444839540555746,1.0,0.9232469434100173,0.9238207039833312,1.0
86,124145.76237484533,502950946.3255683,9604,38756825,10634.935120749054,43577093.20869668,0.07736067519567613,0.0770588568987642,0.9030614565068976,0.889385274377716,0.8850005592560833,0.9211223537577119,1.0,0.8891052705749701,0.8896652781804618,1.0
87,113551.01303681755,444256221.59571326,9940,40030446,11010.394405528554,43560221.94073435,0.08753774831385322,0.09010666379913736,0.9027832822236517,0.9189679073367264,0.8850357322793175,0.9205308321679858,1.0,0.9186832297853701,0.9192525848880827,1.0
88,100603.2966063004,376049484.2716527,9623,36726386,11015.192285028083,41608465.855045766,0.09565292912476338,0.09766370527307888,0.8736116221120934,0.8826661893266193,0.8561569678362655,0.8910662763879214,1.0,0.8823807226066465,0.8829516560465922,1.0
89,86640.15863553458,309501669.851414,9180,34090210,10646.663946817629,38424547.36338507,0.10595548466868707,0.11014548004334217,0.8622419234659862,0.8871987398473488,0.8446036575618484,0.8798801893701239,1.0,0.8869009196349452,0.8874965600597523,1.0
90,72409.59085623035,248212015.95684665,8598,30666940,9920.186295088846,34339103.81622241,0.11874117638741223,0.12355139166724168,0.8667175942307236,0.8930617457032292,0.8483975303624434,0.8850376580990038,1.0,0.8927456676396386,0.8933778237668197,1.0
91,59789.64727402851,196866944.88816917,7700,25723394,9056.162658689544,30085937.753329556,0.12878483736004132,0.13066385529887836,0.8502497459684779,0.8549972485784738,0.8312586845077965,0.8692408074291593,1.0,0.8546668420094047,0.8553276551475429,1.0
92,48293.591680882964,153715863.489609,6804,23172621,8017.6574230431,25702396.174834978,0.14088825790717416,0.1507497045128751,0.8486269294126991,0.9015743451456149,0.8284626481016631,0.8687912107237351,1.0,0.9012072640182477,0.901941426272982,1.0
93,38034.14999720617,115702637.9425107,5712,19049244,6866.554425668204,21010910.534863133,0.15018082434915936,0.16463966888520745,0.8318582575633119,0.9066358151585975,0.8102856161932738,0.85343089893335,1.0,0.9062286767358664,0.9070429535813286,1.0
94,29663.982817738317,84507600.42296591,4727,14886629,5762.577130395512,16508726.706827685,0.15935149467432178,0.17615727964693678,0.8202927081126227,0.9017430153376507,0.7969084206674986,0.8436769955577468,1.0,0.901284944445651,0.9022010862296503,1.0
